0 予約データ(使用禁止
1 本番用
10 関数テスト１
11 関数テスト２
12 関数テスト３
1000000 [無強化] ステータス影響なし
1000001 [魔法] ステータス影響なし
1000002 [雷] ステータス影響なし
1000003 [炎] ステータス影響なし
1000004 [闇] ステータス影響なし
1000005 [毒] ステータス影響なし
1000006 [出血] ステータス影響なし
1000007 [粗製] ステータス影響なし
1000008 [魔力] ステータス影響なし
1000009 [深淵] ステータス影響なし
1003123 [初属：炎] 王妃の騎士A：筋力C 技量D 雷
1003124 [初属：闇] 王妃の騎士A：筋力C 技量D 雷
1003125 [初属：毒] 王妃の騎士A：筋力C 技量D 雷
1003126 [初属：出血] 王妃の騎士A：筋力C 技量D 雷
1003127 [初属：粗製] 王妃の騎士A：筋力C 技量D 雷
1003128 [初属：魔力] 王妃の騎士A：筋力C 技量D 雷
1003129 [初属：深淵] 王妃の騎士A：筋力C 技量D 雷
1003130 [無強化] クレセントアックス：筋力C 技量C 理力
1003131 [初属：魔法] クレセントアックス：筋力C 技量C 理力
1003132 [初属：雷] クレセントアックス：筋力C 技量C 理力
1003133 [初属：炎] クレセントアックス：筋力C 技量C 理力
1003134 [初属：闇] クレセントアックス：筋力C 技量C 理力
1003135 [初属：毒] クレセントアックス：筋力C 技量C 理力
1003136 [初属：出血] クレセントアックス：筋力C 技量C 理力
1003137 [初属：粗製] クレセントアックス：筋力C 技量C 理力
1003138 [初属：魔力] クレセントアックス：筋力C 技量C 理力
1003139 [初属：深淵] クレセントアックス：筋力C 技量C 理力
1003140 [無強化] 王妃の騎士Bの両手槌：筋力C 技量- 闇
1003141 [初属：魔法] 王妃の騎士Bの両手槌：筋力C 技量- 闇
1003142 [初属：雷] 王妃の騎士Bの両手槌：筋力C 技量- 闇
1003143 [初属：炎] 王妃の騎士Bの両手槌：筋力C 技量- 闇
1003144 [初属：闇] 王妃の騎士Bの両手槌：筋力C 技量- 闇
1003145 [初属：毒] 王妃の騎士Bの両手槌：筋力C 技量- 闇
1003146 [初属：出血] 王妃の騎士Bの両手槌：筋力C 技量- 闇
1003147 [初属：粗製] 王妃の騎士Bの両手槌：筋力C 技量- 闇
1003148 [初属：魔力] 王妃の騎士Bの両手槌：筋力C 技量- 闇
1003149 [初属：深淵] 王妃の騎士Bの両手槌：筋力C 技量- 闇
1003150 [無強化] イモータル上級兵士の槍：筋力C 技量C 闇
1003151 [初属：魔法] イモータル上級兵士の槍：筋力C 技量C 闇
1003152 [初属：雷] イモータル上級兵士の槍：筋力C 技量C 闇
1003153 [初属：炎] イモータル上級兵士の槍：筋力C 技量C 闇
1003154 [初属：闇] イモータル上級兵士の槍：筋力C 技量C 闇
1003155 [初属：毒] イモータル上級兵士の槍：筋力C 技量C 闇
1003156 [初属：出血] イモータル上級兵士の槍：筋力C 技量C 闇
1003157 [初属：粗製] イモータル上級兵士の槍：筋力C 技量C 闇
1003158 [初属：魔力] イモータル上級兵士の槍：筋力C 技量C 闇
1003159 [初属：深淵] イモータル上級兵士の槍：筋力C 技量C 闇
1003160 [無強化] 筋力C 技量B 闇
1003161 [魔法] 筋力C 技量B 闇
1003162 [雷] 筋力C 技量B 闇
1003163 [炎] 筋力C 技量B 闇
1003164 [闇] 筋力C 技量B 闇
1003165 [毒] 筋力C 技量B 闇
1003166 [出血] 筋力C 技量B 闇
1003167 [粗製] 筋力C 技量B 闇
1003168 [魔力] 筋力C 技量B 闇
1003169 [深淵] 筋力C 技量B 闇
1004000 [無強化] 筋力D 技量
1004001 [魔法] 筋力D 技量
1004002 [雷] 筋力D 技量
1004003 [炎] 筋力D 技量
1004004 [闇] 筋力D 技量
1004005 [毒] 筋力D 技量
1004006 [出血] 筋力D 技量
1004007 [粗製] 筋力D 技量
1004008 [魔力] 筋力D 技量
1004009 [深淵] 筋力D 技量
1004010 [無強化] 筋力D 技量
1004011 [魔法] 筋力D 技量
1004012 [雷] 筋力D 技量
1004013 [炎] 筋力D 技量
1004014 [闇] 筋力D 技量
1004015 [毒] 筋力D 技量
1004016 [出血] 筋力D 技量
1004017 [粗製] 筋力D 技量
1004018 [魔力] 筋力D 技量
1004019 [深淵] 筋力D 技量
1004020 [無強化] 筋力D 技量
1004021 [魔法] 筋力D 技量
1004022 [雷] 筋力D 技量
1004023 [炎] 筋力D 技量
1004024 [闇] 筋力D 技量
1004025 [毒] 筋力D 技量
1004026 [出血] 筋力D 技量
1004027 [粗製] 筋力D 技量
1004028 [魔力] 筋力D 技量
1004029 [深淵] 筋力D 技量
1004030 [無強化] 筋力D 技量
1004031 [魔法] 筋力D 技量
1004032 [雷] 筋力D 技量
1004033 [炎] 筋力D 技量
1004034 [闇] 筋力D 技量
1004035 [毒] 筋力D 技量
1004036 [出血] 筋力D 技量
1004037 [粗製] 筋力D 技量
1004038 [魔力] 筋力D 技量
1004039 [深淵] 筋力D 技量
1004040 [無強化] 筋力D 技量
1004041 [魔法] 筋力D 技量
1004042 [雷] 筋力D 技量
1004043 [炎] 筋力D 技量
1004044 [闇] 筋力D 技量
1004045 [毒] 筋力D 技量
1004046 [出血] 筋力D 技量
1004047 [粗製] 筋力D 技量
1004048 [魔力] 筋力D 技量
1004049 [深淵] 筋力D 技量
1004050 [無強化] 筋力D 技量
1004051 [魔法] 筋力D 技量
1004052 [雷] 筋力D 技量
1004053 [炎] 筋力D 技量
1004054 [闇] 筋力D 技量
1004055 [毒] 筋力D 技量
1004056 [出血] 筋力D 技量
1004057 [粗製] 筋力D 技量
1004058 [魔力] 筋力D 技量
1004059 [深淵] 筋力D 技量
1004060 [無強化] ファントムプリーストの片手槌：筋力D 技量C 雷E 闇
1004061 [初属：魔法] ファントムプリーストの片手槌：筋力D 技量C 雷E 闇
1004062 [初属：雷] ファントムプリーストの片手槌：筋力D 技量C 雷E 闇
1004063 [初属：炎] ファントムプリーストの片手槌：筋力D 技量C 雷E 闇
1004064 [初属：闇] ファントムプリーストの片手槌：筋力D 技量C 雷E 闇
1004065 [初属：毒] ファントムプリーストの片手槌：筋力D 技量C 雷E 闇
1004066 [初属：出血] ファントムプリーストの片手槌：筋力D 技量C 雷E 闇
1004067 [初属：粗製] ファントムプリーストの片手槌：筋力D 技量C 雷E 闇
1004068 [初属：魔力] ファントムプリーストの片手槌：筋力D 技量C 雷E 闇
1004069 [初属：深淵] ファントムプリーストの片手槌：筋力D 技量C 雷E 闇
1004070 [無強化] デーモンナイトの特大剣：筋力D 技量D 炎
1004071 [初属：魔法] デーモンナイトの特大剣：筋力D 技量D 炎
1004072 [初属：雷] デーモンナイトの特大剣：筋力D 技量D 炎
1004073 [初属：炎] デーモンナイトの特大剣：筋力D 技量D 炎
1004074 [初属：闇] デーモンナイトの特大剣：筋力D 技量D 炎
1004075 [初属：毒] デーモンナイトの特大剣：筋力D 技量D 炎
1004076 [初属：出血] デーモンナイトの特大剣：筋力D 技量D 炎
1004077 [初属：粗製] デーモンナイトの特大剣：筋力D 技量D 炎
1004078 [初属：魔力] デーモンナイトの特大剣：筋力D 技量D 炎
1004079 [初属：深淵] デーモンナイトの特大剣：筋力D 技量D 炎
1004080 [無強化] アガドゥランの特大剣：筋力D 技量D 闇
1004081 [アガドゥランの特大剣：魔法] アガドゥランの特大剣：筋力D 技量D 闇
1004082 [アガドゥランの特大剣：雷] アガドゥランの特大剣：筋力D 技量D 闇
1004083 [アガドゥランの特大剣：炎] アガドゥランの特大剣：筋力D 技量D 闇
1004084 [アガドゥランの特大剣：闇] アガドゥランの特大剣：筋力D 技量D 闇
1004085 [アガドゥランの特大剣：毒] アガドゥランの特大剣：筋力D 技量D 闇
1004086 [アガドゥランの特大剣：出血] アガドゥランの特大剣：筋力D 技量D 闇
1004087 [アガドゥランの特大剣：粗製] アガドゥランの特大剣：筋力D 技量D 闇
1004088 [アガドゥランの特大剣：魔力] アガドゥランの特大剣：筋力D 技量D 闇
1004089 [アガドゥランの特大剣：深淵] アガドゥランの特大剣：筋力D 技量D 闇
1004090 [無強化] 盾：筋力D 技量- 理力
1004091 [初属B：魔法] 盾：筋力D 技量- 理力
1004092 [初属B：雷] 盾：筋力D 技量- 理力
1004093 [初属B：炎] 盾：筋力D 技量- 理力
1004094 [初属B：闇] 盾：筋力D 技量- 理力
1004095 [初属B：毒] 盾：筋力D 技量- 理力
1004096 [初属B：出血] 盾：筋力D 技量- 理力
1004097 [初属B：粗製] 盾：筋力D 技量- 理力
1004098 [初属B：魔力] 盾：筋力D 技量- 理力
1004099 [初属B：深淵] 盾：筋力D 技量- 理力
1004100 [無強化] 王妃の騎士Aの中盾：筋力D 技量D 理力
1004101 [初属D：魔法] 王妃の騎士Aの中盾：筋力D 技量D 理力
1004102 [初属D：雷] 王妃の騎士Aの中盾：筋力D 技量D 理力
1004103 [初属D：炎] 王妃の騎士Aの中盾：筋力D 技量D 理力
1004104 [初属D：闇] 王妃の騎士Aの中盾：筋力D 技量D 理力
1004105 [初属D：毒] 王妃の騎士Aの中盾：筋力D 技量D 理力
1004106 [初属D：出血] 王妃の騎士Aの中盾：筋力D 技量D 理力
1004107 [初属D：粗製] 王妃の騎士Aの中盾：筋力D 技量D 理力
1004108 [初属D：魔力] 王妃の騎士Aの中盾：筋力D 技量D 理力
1004109 [初属D：深淵] 王妃の騎士Aの中盾：筋力D 技量D 理力
1004110 [無強化] 筋力D 技量- 理力
1004111 [魔法] 筋力D 技量- 理力
1004112 [雷] 筋力D 技量- 理力
1004113 [炎] 筋力D 技量- 理力
1004114 [闇] 筋力D 技量- 理力
1004115 [毒] 筋力D 技量- 理力
1004116 [出血] 筋力D 技量- 理力
1004117 [粗製] 筋力D 技量- 理力
1004118 [魔力] 筋力D 技量- 理力
1004119 [深淵] 筋力D 技量- 理力
1005000 [無強化] 筋力E 技量
1005001 [魔法] 筋力E 技量
1005002 [雷] 筋力E 技量
1005003 [炎] 筋力E 技量
1005004 [闇] 筋力E 技量
1005005 [毒] 筋力E 技量
1005006 [出血] 筋力E 技量
1005007 [粗製] 筋力E 技量
1005008 [魔力] 筋力E 技量
1005009 [深淵] 筋力E 技量
1005010 [無強化] 筋力E 技量
1005011 [魔法] 筋力E 技量
1005012 [雷] 筋力E 技量
1005013 [炎] 筋力E 技量
1005014 [闇] 筋力E 技量
1005015 [毒] 筋力E 技量
1005016 [出血] 筋力E 技量
1005017 [粗製] 筋力E 技量
1005018 [魔力] 筋力E 技量
1005019 [深淵] 筋力E 技量
1005020 [無強化] 筋力E 技量
1005021 [魔法] 筋力E 技量
1005022 [雷] 筋力E 技量
1005023 [炎] 筋力E 技量
1005024 [闇] 筋力E 技量
1005025 [毒] 筋力E 技量
1005026 [出血] 筋力E 技量
1005027 [粗製] 筋力E 技量
1005028 [魔力] 筋力E 技量
1005029 [深淵] 筋力E 技量
1005030 [無強化] 筋力E 技量
1005031 [魔法] 筋力E 技量
1005032 [雷] 筋力E 技量
1005033 [炎] 筋力E 技量
1005034 [闇] 筋力E 技量
1005035 [毒] 筋力E 技量
1005036 [出血] 筋力E 技量
1005037 [粗製] 筋力E 技量
1005038 [魔力] 筋力E 技量
1005039 [深淵] 筋力E 技量
1005040 [無強化] 筋力E 技量
1005041 [魔法] 筋力E 技量
1005042 [雷] 筋力E 技量
1005043 [炎] 筋力E 技量
1005044 [闇] 筋力E 技量
1005045 [毒] 筋力E 技量
1005046 [出血] 筋力E 技量
1005047 [粗製] 筋力E 技量
1005048 [魔力] 筋力E 技量
1005049 [深淵] 筋力E 技量
1005050 [無強化] 筋力E 技量
1005051 [魔法] 筋力E 技量
1005052 [雷] 筋力E 技量
1005053 [炎] 筋力E 技量
1005054 [闇] 筋力E 技量
1005055 [毒] 筋力E 技量
1005056 [出血] 筋力E 技量
1005057 [粗製] 筋力E 技量
1005058 [魔力] 筋力E 技量
1005059 [深淵] 筋力E 技量
1005060 [無強化] 筋力E 技量
1005061 [魔法] 筋力E 技量
1005062 [雷] 筋力E 技量
1005063 [炎] 筋力E 技量
1005064 [闇] 筋力E 技量
1005065 [毒] 筋力E 技量
1005066 [出血] 筋力E 技量
1005067 [粗製] 筋力E 技量
1005068 [魔力] 筋力E 技量
1005069 [深淵] 筋力E 技量
1005070 [無強化] ファントムメイジの片手剣：筋力E 技量D 魔力C 炎
1005071 [ファントムメイジの片手剣：魔法] ファントムメイジの片手剣：筋力E 技量D 魔力C 炎
1005072 [ファントムメイジの片手剣：雷] ファントムメイジの片手剣：筋力E 技量D 魔力C 炎
1005073 [ファントムメイジの片手剣：炎] ファントムメイジの片手剣：筋力E 技量D 魔力C 炎
1005074 [ファントムメイジの片手剣：闇] ファントムメイジの片手剣：筋力E 技量D 魔力C 炎
1005075 [ファントムメイジの片手剣：毒] ファントムメイジの片手剣：筋力E 技量D 魔力C 炎
1005076 [ファントムメイジの片手剣：出血] ファントムメイジの片手剣：筋力E 技量D 魔力C 炎
1005077 [ファントムメイジの片手剣：粗製] ファントムメイジの片手剣：筋力E 技量D 魔力C 炎
1005078 [ファントムメイジの片手剣：魔力] ファントムメイジの片手剣：筋力E 技量D 魔力C 炎
1005079 [ファントムメイジの片手剣：深淵] ファントムメイジの片手剣：筋力E 技量D 魔力C 炎
1005080 [無強化] 王妃の騎士C：筋力E 技量D 魔力
1005081 [王妃騎士C：魔法] 王妃の騎士C：筋力E 技量D 魔力
1005082 [王妃騎士C：雷] 王妃の騎士C：筋力E 技量D 魔力
1005083 [王妃騎士C：炎] 王妃の騎士C：筋力E 技量D 魔力
1005084 [王妃騎士C：闇] 王妃の騎士C：筋力E 技量D 魔力
1005085 [王妃騎士C：毒] 王妃の騎士C：筋力E 技量D 魔力
1005086 [王妃騎士C：出血] 王妃の騎士C：筋力E 技量D 魔力
1005087 [王妃騎士C：粗製] 王妃の騎士C：筋力E 技量D 魔力
1005088 [王妃騎士C：魔力] 王妃の騎士C：筋力E 技量D 魔力
1005089 [王妃騎士C：深淵] 王妃の騎士C：筋力E 技量D 魔力
1005090 [無強化] ネクロマンサーの小盾：筋力E 技量D 炎
1005091 [初属C：魔法] ネクロマンサーの小盾：筋力E 技量D 炎
1005092 [初属C：雷] ネクロマンサーの小盾：筋力E 技量D 炎
1005093 [初属C：炎] ネクロマンサーの小盾：筋力E 技量D 炎
1005094 [初属C：闇] ネクロマンサーの小盾：筋力E 技量D 炎
1005095 [初属C：毒] ネクロマンサーの小盾：筋力E 技量D 炎
1005096 [初属C：出血] ネクロマンサーの小盾：筋力E 技量D 炎
1005097 [初属C：粗製] ネクロマンサーの小盾：筋力E 技量D 炎
1005098 [初属C：魔力] ネクロマンサーの小盾：筋力E 技量D 炎
1005099 [初属C：深淵] ネクロマンサーの小盾：筋力E 技量D 炎
1005100 [無強化] 金翼の中盾：筋力E 技量- 理力
1005101 [金翼の中盾：魔法] 金翼の中盾：筋力E 技量- 理力
1005102 [金翼の中盾：雷] 金翼の中盾：筋力E 技量- 理力
1005103 [金翼の中盾：炎] 金翼の中盾：筋力E 技量- 理力
1005104 [金翼の中盾：闇] 金翼の中盾：筋力E 技量- 理力
1005105 [金翼の中盾：毒] 金翼の中盾：筋力E 技量- 理力
1005106 [金翼の中盾：出血] 金翼の中盾：筋力E 技量- 理力
1005107 [金翼の中盾：粗製] 金翼の中盾：筋力E 技量- 理力
1005108 [金翼の中盾：魔力] 金翼の中盾：筋力E 技量- 理力
1005109 [金翼の中盾：深淵] 金翼の中盾：筋力E 技量- 理力
1005110 [無強化] スペル四天王（奇蹟）の中盾：筋力E 技量- 雷
1005111 [初属D：魔法] スペル四天王（奇蹟）の中盾：筋力E 技量- 雷
1005112 [初属D：雷] スペル四天王（奇蹟）の中盾：筋力E 技量- 雷
1005113 [初属D：炎] スペル四天王（奇蹟）の中盾：筋力E 技量- 雷
1005114 [初属D：闇] スペル四天王（奇蹟）の中盾：筋力E 技量- 雷
1005115 [初属D：毒] スペル四天王（奇蹟）の中盾：筋力E 技量- 雷
1005116 [初属D：出血] スペル四天王（奇蹟）の中盾：筋力E 技量- 雷
1005117 [初属D：粗製] スペル四天王（奇蹟）の中盾：筋力E 技量- 雷
1005118 [初属D：魔力] スペル四天王（奇蹟）の中盾：筋力E 技量- 雷
1005119 [初属D：深淵] スペル四天王（奇蹟）の中盾：筋力E 技量- 雷
1006000 [無強化] 筋力- 技量
1006001 [魔法] 筋力- 技量
1006002 [雷] 筋力- 技量
1006003 [炎] 筋力- 技量
1006004 [闇] 筋力- 技量
1006005 [毒] 筋力- 技量
1006006 [出血] 筋力- 技量
1006007 [粗製] 筋力- 技量
1006008 [魔力] 筋力- 技量
1006009 [深淵] 筋力- 技量
1006010 [無強化] 筋力- 技量
1006011 [魔法] 筋力- 技量
1006012 [雷] 筋力- 技量
1006013 [炎] 筋力- 技量
1006014 [闇] 筋力- 技量
1006015 [毒] 筋力- 技量
1006016 [出血] 筋力- 技量
1006017 [粗製] 筋力- 技量
1006018 [魔力] 筋力- 技量
1006019 [深淵] 筋力- 技量
1006020 [無強化] 筋力- 技量
1006021 [魔法] 筋力- 技量
1006022 [雷] 筋力- 技量
1006023 [炎] 筋力- 技量
1006024 [闇] 筋力- 技量
1006025 [毒] 筋力- 技量
1006026 [出血] 筋力- 技量
1006027 [粗製] 筋力- 技量
1006028 [魔力] 筋力- 技量
1006029 [深淵] 筋力- 技量
1006030 [無強化] 筋力- 技量
1006031 [魔法] 筋力- 技量
1006032 [雷] 筋力- 技量
1006033 [炎] 筋力- 技量
1006034 [闇] 筋力- 技量
1006035 [毒] 筋力- 技量
1006036 [出血] 筋力- 技量
1006037 [粗製] 筋力- 技量
1006038 [魔力] 筋力- 技量
1006039 [深淵] 筋力- 技量
1006040 [無強化] 初期属性：刀：筋力- 技量
1006041 [初属B：魔法] 初期属性：刀：筋力- 技量
1006042 [初属B：雷] 初期属性：刀：筋力- 技量
1006043 [初属B：炎] 初期属性：刀：筋力- 技量
1006044 [初属B：闇] 初期属性：刀：筋力- 技量
1006045 [初属B：毒] 初期属性：刀：筋力- 技量
1006046 [初属B：出血] 初期属性：刀：筋力- 技量
1006047 [初属B：粗製] 初期属性：刀：筋力- 技量
1006048 [初属B：魔力] 初期属性：刀：筋力- 技量
1006049 [初属B：深淵] 初期属性：刀：筋力- 技量
1006050 [無強化] 筋力- 技量
1006051 [魔法] 筋力- 技量
1006052 [雷] 筋力- 技量
1006053 [炎] 筋力- 技量
1006054 [闇] 筋力- 技量
1006055 [毒] 筋力- 技量
1006056 [出血] 筋力- 技量
1006057 [粗製] 筋力- 技量
1006058 [魔力] 筋力- 技量
1006059 [深淵] 筋力- 技量
1006060 [無強化] スペル四天王（呪術）の刺突剣：筋力- 技量B 炎
1006061 [初属炎：魔法] スペル四天王（呪術）の刺突剣：筋力- 技量B 炎
1006062 [初属炎：雷] スペル四天王（呪術）の刺突剣：筋力- 技量B 炎
1006063 [初属炎：炎] スペル四天王（呪術）の刺突剣：筋力- 技量B 炎
1006064 [初属炎：闇] スペル四天王（呪術）の刺突剣：筋力- 技量B 炎
1006065 [初属炎：毒] スペル四天王（呪術）の刺突剣：筋力- 技量B 炎
1006066 [初属炎：出血] スペル四天王（呪術）の刺突剣：筋力- 技量B 炎
1006067 [初属炎：粗製] スペル四天王（呪術）の刺突剣：筋力- 技量B 炎
1006068 [初属炎：魔力] スペル四天王（呪術）の刺突剣：筋力- 技量B 炎
1006069 [初属炎：深淵] スペル四天王（呪術）の刺突剣：筋力- 技量B 炎
1006070 [無強化] スケルトン貴族の両手長斧：筋力- 技量B 闇
1006071 [スケルトン貴族の両手長槍：魔法] スケルトン貴族の両手長斧：筋力- 技量B 闇
1006072 [スケルトン貴族の両手長槍：雷] スケルトン貴族の両手長斧：筋力- 技量B 闇
1006073 [スケルトン貴族の両手長槍：炎] スケルトン貴族の両手長斧：筋力- 技量B 闇
1006074 [スケルトン貴族の両手長槍：闇] スケルトン貴族の両手長斧：筋力- 技量B 闇
1006075 [スケルトン貴族の両手長槍：毒] スケルトン貴族の両手長斧：筋力- 技量B 闇
1006076 [スケルトン貴族の両手長槍：出血] スケルトン貴族の両手長斧：筋力- 技量B 闇
1006077 [スケルトン貴族の両手長槍：粗製] スケルトン貴族の両手長斧：筋力- 技量B 闇
1006078 [スケルトン貴族の両手長槍：魔力] スケルトン貴族の両手長斧：筋力- 技量B 闇
1006079 [スケルトン貴族の両手長槍：深淵] スケルトン貴族の両手長斧：筋力- 技量B 闇
1006080 [無強化] ダークプリーストの小盾：筋力- 技量D 雷
1006081 [初属C：魔法] ダークプリーストの小盾：筋力- 技量D 雷
1006082 [初属C：雷] ダークプリーストの小盾：筋力- 技量D 雷
1006083 [初属C：炎] ダークプリーストの小盾：筋力- 技量D 雷
1006084 [初属C：闇] ダークプリーストの小盾：筋力- 技量D 雷
1006085 [初属C：毒] ダークプリーストの小盾：筋力- 技量D 雷
1006086 [初属C：出血] ダークプリーストの小盾：筋力- 技量D 雷
1006087 [初属C：粗製] ダークプリーストの小盾：筋力- 技量D 雷
1006088 [初属C：魔力] ダークプリーストの小盾：筋力- 技量D 雷
1006089 [初属C：深淵] ダークプリーストの小盾：筋力- 技量D 雷
1007000 [無強化] 触媒：理力S 闇
1007001 [触媒：魔法] 触媒：理力S 闇
1007002 [触媒：雷] 触媒：理力S 闇
1007003 [触媒：炎] 触媒：理力S 闇
